中文名,外文名,软科排名,985,211,双一流
天津师范大学,Tianjin Normal University,160,否,否,否
吉林农业大学,Jilin Agricultural University,161,否,否,否
湖北工业大学,Hubei University of Technology,162,否,否,否
辽宁师范大学,Liaoning Normal University,162,否,否,否
曲阜师范大学,Qufu Normal University,164,否,否,否
常州大学,Changzhou University,165,否,否,否
湖南农业大学,Hunan Agricultural University,166,否,否,否
青岛科技大学,Qingdao University of Science & Technology,167,否,否,否
河南师范大学,Henan Normal University,168,否,否,否
沈阳药科大学,Shenyang Pharmaceutical University,医20,否,否,否
武汉工程大学,Wuhan Institute of Technology,169,否,否,否
山东中医药大学,Shandong University of Traditional Chinese Medicine,中医8,否,否,否
湖南中医药大学,Hunan University of Chinese Medicine,中医9,否,否,否
天津理工大学,Tianjin University of Technology,170,否,否,否
上海海事大学,Shanghai Maritime University,171,否,否,否
江苏师范大学,Jiangsu Normal University,172,否,否,否
汕头大学,Shantou University,173,否,否,否
三峡大学,China Three Gorges University,174,否,否,否
济南大学,University of Jinan,175,否,否,否
天津财经大学,Tianjin University of Finance and Economics,财16,否,否,否
河南科技大学,Henan University of Science and Technology,176,否,否,否
福建中医药大学,Fujian University of Traditional Chinese Medicine,中医10,否,否,否
河北师范大学,Hebei Normal University,177,否,否,否
北京体育大学,Beijing Sport University,体2,否,是,是
北京建筑大学,Beijing University of Civil Engineering and Architecture,178,否,否,否
沈阳航空航天大学,Shenyang Aerospace University,179,否,否,否
河南中医药大学,Henan University of Chinese Medicine,中医11,否,否,否
安徽理工大学,Anhui University of Science & Technology,180,否,否,否
南昌航空大学,Nanchang Hangkong University,181,否,否,否
北京信息科技大学,Beijing Information Science & Technology University,182,否,否,否
桂林电子科技大学,Guilin University of Electronic Technology,183,否,否,否
长江大学,Yangtze University,184,否,否,否
宁夏医科大学,Ningxia Medical University,医21,否,否,否
国际关系学院,University of International Relations,185,否,否,否
西北政法大学,Northwest University of Political Science and Law,政5,否,否,否
西安科技大学,Xi'an University of Science and Technology,186,否,否,否
青岛理工大学,Qingdao University of Technology,187,否,否,否
上海电力大学,Shanghai University of Electric Power,188,否,否,否
河北农业大学,Hebei Agricultural University,189,否,否,否
湖南科技大学,Hunan University of Science and Technology,189,否,否,否
辽宁中医药大学,Liaoning University of Traditional Chinese Medicine,中医12,否,否,否
重庆交通大学,Chongqing Jiaotong University,191,否,否,否
兰州交通大学,Lanzhou Jiaotong University,192,否,否,否
安徽工业大学,Anhui University of Technology,193,否,否,否
河南理工大学,Henan Polytechnic University,194,否,否,否
华东交通大学,East China Jiaotong University,194,否,否,否
昆明医科大学,Kunming Medical University,医22,否,否,否
西安邮电大学,Xi'an University of Posts and Telecommunications,196,否,否,否
新疆医科大学,Xinjiang Medical University,医23,否,否,否
山东理工大学,Shandong University of Technology,197,否,否,否
南华大学,University of South China,198,否,否,否
沈阳工业大学,Shenyang University of Technology,198,否,否,否
云南师范大学,Yunnan Normal University,198,否,否,否
江西中医药大学,Jiangxi University of Chinese Medicine,中医13,否,否,否
西藏大学,Xizang University,201,否,是,是
江西理工大学,Jiangxi University of Science and Technology,202,否,否,否
安徽财经大学,Anhui University of Finance and Economics,财17,否,否,否
青海大学,Qinghai University,203,否,是,是
兰州理工大学,Lanzhou University of Technology,204,否,否,否
西南科技大学,Southwest University of Science and Technology,205,否,否,否
湖北中医药大学,Hubei University of Chinese Medicine,中医14,否,否,否
西安工业大学,Xi'an Technological University,206,否,否,否
江西农业大学,Jiangxi Agricultural University,207,否,否,否
西南医科大学,Southwest Medical University,医24,否,否,否
西南民族大学,Southwest Minzu University,民3,否,否,否
长春中医药大学,Changchun University of Chinese Medicine,中医15,否,否,否
东北电力大学,Northeast Electric Power University,208,否,否,否
四川师范大学,Sichuan Normal University,209,否,否,否
河南工业大学,Henan University of Technology,210,否,否,否
山东医药大学,Shandong Medical and Pharmaceutical University,医25,否,否,否
大连工业大学,Dalian Polytechnic University,211,否,否,否
黑龙江中医药大学,Heilongjiang University of Chinese Medicine,中医16,否,否,否
内蒙古农业大学,Inner Mongolia Agricultural University,212,否,否,否
东北石油大学,Northeast Petroleum University,213,否,否,否
北京第二外国语学院,Beijing International Studies University,语7,否,否,否
哈尔滨理工大学,Harbin University of Science and Technology,214,否,否,否
重庆师范大学,Chongqing Normal University,215,否,否,否
山西财经大学,Shanxi University of Finance and Economics,财18,否,否,否
嘉兴大学,Jiaxing University,216,否,否,否
遵义医科大学,Zunyi Medical University,医26,否,否,否
上海政法学院,Shanghai University of Political Science and Law,政6,否,否,否
苏州科技大学,Suzhou University of Science and Technology,217,否,否,否
河南医药大学,Henan Medical University,医27,否,否,否
浙大城市学院,Hangzhou City University,218,否,否,否
安徽中医药大学,Anhui University of Chinese Medicine,中医17,否,否,否
中南林业科技大学,Central South University of Forestry & Technology,219,否,否,否
贵州师范大学,Guizhou Normal University,220,否,否,否
内蒙古师范大学,Inner Mongolia Normal University,220,否,否,否
贵州医科大学,Guizhou Medical University,医28,否,否,否
山东第二医科大学,Shandong Second Medical University,医29,否,否,否
沈阳建筑大学,Shenyang Jianzhu University,222,否,否,否
吉林财经大学,Jilin University of Finance and Economics,财19,否,否,否
中国刑事警察学院,Criminal Investigation Police University of China,政7,否,否,否
哈尔滨师范大学,Harbin Normal University,223,否,否,否
烟台大学,Yantai University,224,否,否,否
山西农业大学,Shanxi Agricultural University,225,否,否,否
中国民航大学,Civil Aviation University of China,226,否,否,否
海南师范大学,Hainan Normal University,227,否,否,否
青岛农业大学,Qingdao Agricultural University,228,否,否,否
东华理工大学,East China University of Technology,229,否,否,否
内蒙古医科大学,Inner Mongolia Medical University,医30,否,否,否
西安石油大学,Xi'an Shiyou University,230,否,否,否
石家庄铁道大学,Shijiazhuang Tiedao University,231,否,否,否
浙江科技大学,Zhejiang University of Science & Technology,232,否,否,否
重庆工商大学,Chongqing Technology and Business University,财20,否,否,否
广东财经大学,Guangdong University of Finance and Economics,财21,否,否,否
北京电子科技学院,Beijing Electronic Science and Technology Institute,233,否,否,否
海南医科大学,Hainan Medical University,医31,否,否,否
湖州师范大学,Huzhou Normal University,234,否,否,否
甘肃农业大学,Gansu Agricultural University,235,否,否,否
浙江传媒学院,Communication University of Zhejiang,语8,否,否,否
浙江海洋大学,Zhejiang Ocean University,236,否,否,否
佛山大学,Foshan University,237,否,否,否
上海工程技术大学,Shanghai University of Engineering Science,237,否,否,否
北方工业大学,North China University of Technology,239,否,否,否
陕西中医药大学,Shaanxi University of Chinese Medicine,中医18,否,否,否
鲁东大学,Ludong University,240,否,否,否
成都大学,Chengdu University,241,否,否,否
西安外国语大学,Xi'an International Studies University,语9,否,否,否
四川外国语大学,Sichuan International Studies University,语10,否,否,否
上海应用技术大学,Shanghai Institute of Technology,242,否,否,否
北京物资学院,Beijing Wuzi University,财22,否,否,否
广西中医药大学,Guangxi University of Chinese Medicine,中医19,否,否,否
重庆理工大学,Chongqing University of Technology,243,否,否,否
沈阳化工大学,Shenyang University of Chemical Technology,244,否,否,否
长春工业大学,Changchun University of Technology,245,否,否,否
厦门理工学院,Xiamen University of Technology,246,否,否,否
锦州医科大学,Jinzhou Medical University,医32,否,否,否
东莞理工学院,Dongguan University of Technology,247,否,否,否
延安大学,Yan'an University,248,否,否,否
大连交通大学,Dalian Jiaotong University,249,否,否,否
华北水利水电大学,North China University of Water Resources and Electric Power,249,否,否,否
山东建筑大学,Shandong Jianzhu University,251,否,否,否
赣南师范大学,Gannan Normal University,252,否,否,否
西安工程大学,Xi'an Polytechnic University,253,否,否,否
河北经贸大学,Hebei University of Economics and Business,财23,否,否,否
河北科技大学,Hebei University of Science and Technology,254,否,否,否
沈阳理工大学,Shenyang Ligong University,254,否,否,否
河北中医药大学,Hebei University of Chinese Medicine,中医20,否,否,否
青海师范大学,Qinghai Normal University,256,否,否,否
河南财经政法大学,Henan University of Economics and Law,财24,否,否,否
武汉轻工大学,Wuhan Polytechnic University,257,否,否,否
桂林理工大学,Guilin University of Technology,258,否,否,否
郑州轻工业大学,Zhengzhou University of Light Industry,258,否,否,否
天津外国语大学,Tianjin Foreign Studies University,语11,否,否,否
成都信息工程大学,Chengdu University of Information Technology,260,否,否,否
内蒙古工业大学,Inner Mongolia University of Technology,261,否,否,否
西华大学,Xihua University,262,否,否,否
首都体育学院,Capital University of Physical Education and Sports,体3,否,否,否
辽宁石油化工大学,Liaoning Petrochemical University,263,否,否,否
湖北经济学院,Hubei University of Economics,财25,否,否,否
绍兴大学,Shaoxing University,264,否,否,否
江汉大学,Jianghan University,265,否,否,否
沈阳大学,Shenyang University,266,否,否,否
广东医科大学,Guangdong Medical University,医33,否,否,否
大连外国语大学,Dalian University of Foreign Languages,语12,否,否,否
中国人民警察大学,China People's Police University,政8,否,否,否
山西师范大学,Shanxi Normal University,267,否,否,否
湖北医药学院,Hubei University of Medicine,医34,否,否,否
湖南工商大学,Hunan University of Technology and Business,财26,否,否,否
聊城大学,Liaocheng University,268,否,否,否
华北理工大学,North China University of Science and Technology,269,否,否,否
上海立信会计金融学院,Shanghai Lixin University of Accounting and Finance,财27,否,否,否
太原科技大学,Taiyuan University of Science and Technology,270,否,否,否
天津商业大学,Tianjin University of Commerce,财28,否,否,否
浙江外国语学院,Zhejiang International Studies University,语13,否,否,否
四川警察学院,Sichuan Police College,政9,否,否,否
辽宁工程技术大学,Liaoning Technical University,271,否,否,否
西华师范大学,China West Normal University,271,否,否,否
贵州中医药大学,Guizhou University of Traditional Chinese Medicine,中医21,否,否,否
广西民族大学,Guangxi University for Nationalities,民4,否,否,否
南京工程学院,Nanjing Institute of Technology,273,否,否,否
贵州财经大学,Guizhou University of Finance and Economics,财29,否,否,否
安徽工程大学,Anhui Polytechnic University,274,否,否,否
福建理工大学,Fujian University of Technology,275,否,否,否
郑州航空工业管理学院,Zhengzhou University of Aeronautics,财30,否,否,否
大连民族大学,Dalian Minzu University,民5,否,否,否
上海海关学院,Shanghai Customs University,276,否,否,否
沈阳师范大学,Shenyang Normal University,277,否,否,否
台州学院,Taizhou University,278,否,否,否
重庆科技大学,Chongqing University of Science and Technology,279,否,否,否
辽宁工业大学,Liaoning University of Technology,279,否,否,否
西藏民族大学,Xizang Minzu University,民6,否,否,否
贵州民族大学,Guizhou Minzu University,民7,否,否,否
江苏警官学院,Jiangsu Police Institute,政10,否,否,否
北京农学院,Beijing University of Agriculture,281,否,否,否
北京印刷学院,Beijing Institute of Graphic Communication,281,否,否,否
云南财经大学,Yunnan University of Finance and Economics,财31,否,否,否
武汉体育学院,Wuhan Sports University,体4,否,否,否
安徽建筑大学,Anhui Jianzhu University,283,否,否,否
深圳技术大学,Shenzhen Technology University,283,否,否,否
蚌埠医科大学,Bengbu Medical University,医35,否,否,否
沈阳医学院,Shenyang Medical College,医36,否,否,否
渤海大学,Bohai University,285,否,否,否
大理大学,Dali University,285,否,否,否
川北医学院,North Sichuan Medical College,医37,否,否,否
云南中医药大学,Yunnan University of Chinese Medicine,中医22,否,否,否
大连大学,Dalian University,287,否,否,否
苏州工学院,Suzhou University of Technology,287,否,否,否
浙大宁波理工学院,NingboTech University,287,否,否,否
中国劳动关系学院,China University of Labor Relations,政11,否,否,否
山西中医药大学,Shanxi University of Chinese Medicine,中医23,否,否,否
云南农业大学,Yunnan Agricultural University,290,否,否,否
河北地质大学,Hebei GEO University,财32,否,否,否
西北民族大学,Northwest Minzu University,民8,否,否,否
南京警察学院,Nanjing Police University,政12,否,否,否
河北工程大学,Hebei University of Engineering,291,否,否,否
桂林医科大学,Guilin Medical University,医38,否,否,否
宁波工程学院,Ningbo University of Technology,292,否,否,否
广东药科大学,Guangdong Pharmaceutical University,医39,否,否,否
湖南工业大学,Hunan University of Technology,293,否,否,否
西安财经大学,Xi'an University of Finance and Economics,财33,否,否,否
浙江警察学院,Zhejiang Police College,政13,否,否,否
吉林建筑大学,Jilin Jianzhu University,294,否,否,否
西藏藏医药大学,Xizang University of Tibetan Medicine,中医24,否,否,否
南宁师范大学,Nanning Normal University,295,否,否,否
北方民族大学,North Minzu University,民9,否,否,否
大连海洋大学,Dalian Ocean University,296,否,否,否
闽江大学,Minjiang University,297,否,否,否
广东海洋大学,Guangdong Ocean University,298,否,否,否
临沂大学,Linyi University,299,否,否,否
哈尔滨商业大学,Harbin University of Commerce,财34,否,否,否
中华女子学院,China Women's University,语14,否,否,否
云南民族大学,Yunnan Minzu University,民10,否,否,否
北京石油化工学院,Beijing Institute of Petrochemical Technology,300,否,否,否
赣南医科大学,Gannan Medical University,医40,否,否,否
内蒙古财经大学,Inner Mongolia University of Finance and Economics,财35,否,否,否
黑龙江八一农垦大学,Heilongjiang Bayi Agricultural University,301,否,否,否
甘肃中医药大学,Gansu University of Chinese Medicine,中医25,否,否,否
新疆师范大学,Xinjiang Normal University,302,否,否,否
沈阳体育学院,Shenyang Sport University,体5,否,否,否
西南林业大学,Southwest Forestry University,303,否,否,否
皖南医科大学,Wannan Medical University,医41,否,否,否
辽宁科技大学,University of Science and Technology Liaoning,304,否,否,否
新疆农业大学,Xinjiang Agricultural University,305,否,否,否
山东工商学院,Shandong Technology and Business University,财36,否,否,否
北京联合大学,Beijing Union University,306,否,否,否
重庆文理学院,Chongqing University of Arts and Sciences,307,否,否,否
北华大学,Beihua University,308,否,否,否
闽南师范大学,Minnan Normal University,309,否,否,否
湖南理工大学,Hunan Institute of Science and Technology,310,否,否,否
五邑大学,Wuyi University,311,否,否,否
湖北师范大学,Hubei Normal University,312,否,否,否
浙江万里学院,Zhejiang Wanli University,312,否,否,否
青海民族大学,Qinghai Minzu University,民11,否,否,否
甘肃政法大学,Gansu University of Political Science and Law,政14,否,否,否
广东技术师范大学,Guangdong Polytechnic Normal University,314,否,否,否
内蒙古科技大学,Inner Mongolia University of Science & Technology,314,否,否,否
合肥大学,Hefei University,316,否,否,否
承德医学院,Chengde Medical University,医42,否,否,否
淮安大学,Huai'an University,317,否,否,否
天津城建大学,Tianjin Chengjian University,318,否,否,否
无锡学院,Wuxi University,319,否,否,否
中原工学院,Zhongyuan University of Technology,320,否,否,否
景德镇陶瓷大学,Jingdezhen Ceramic University,321,否,否,否
济宁医学院,Jining Medical University,医43,否,否,否
吉林师范大学,Jilin Normal University,322,否,否,否
吉首大学,Jishou University,323,否,否,否
江西科技师范大学,Jiangxi Science and Technology Normal University,324,否,否,否
南京体育学院,Nanjing Sport Institute,体6,否,否,否
江苏海洋大学,Jiangsu Ocean University,325,否,否,否
天津体育学院,Tianjin University of Sport,体7,否,否,否
四川轻化工大学,Sichuan University of Science and Engineering,326,否,否,否
上海第二工业大学,Shanghai Polytechnic University,327,否,否,否
长沙学院,Changsha University,328,否,否,否
广西科技大学,Guangxi University of Science and Technology,329,否,否,否
淮北师范大学,Huaibei Normal University,330,否,否,否
成都体育学院,Chengdu Sport University,体8,否,否,否
淮阴师范学院,Huaiyin Normal University,331,否,否,否
上海电机学院,Shanghai Dianji University,332,否,否,否
南京晓庄学院,Nanjing XiaoZhuang University,333,否,否,否
盐城工学院,Yancheng Institute of Technology,334,否,否,否
贵州师范学院,Guizhou Education University,335,否,否,否
常州工学院,Changzhou Institute of Technology,336,否,否,否
新疆财经大学,Xinjiang University of Finance & Economics,财37,否,否,否
长春师范大学,Changchun Normal University,337,否,否,否
信阳师范大学,Xinyang Normal University,337,否,否,否
上海健康医学院,Shanghai University of Medicine and Health Sciences,医44,否,否,否
山东体育学院,Shandong Sport University,体9,否,否,否
中央司法警官学院,The National Police University for Criminal Justice,政15,否,否,否
榆林大学,Yulin University,339,否,否,否
安庆师范大学,Anqing Normal University,340,否,否,否
内蒙古民族大学,Inner Mongolia Minzu University,民12,否,否,否
重庆警察学院,Chongqing Police College,政16,否,否,否
湖北汽车工业学院,Hubei University of Automotive Technology,341,否,否,否
陕西理工大学,Shaanxi University of Technology,342,否,否,否
塔里木大学,Tarim University,343,否,否,否
天津职业技术师范大学,TianJin University of Technology and Education,343,否,否,否
辽宁警察学院,Liaoning Police College,政17,否,否,否
长江师范学院,Yangtze Normal University,345,否,否,否
兰州财经大学,Lanzhou University of Finance and Economics,财38,否,否,否
