中文名,外文名,软科排名,独立学院,民办高校
广东建设职业技术学院,Guangdong Construction Polytechnic,,否,否
广东江门幼儿师范高等专科学校,Jiangmen Normal College For Preschool Education In Guangdong,,否,否
广东江门中医药职业学院,Guangdong Jiangmen Chinese Medicine College,,否,否
广东交通职业技术学院,Guangdong Communication Polytechnic,,否,否
广东酒店管理职业技术学院,Guangdong Vocational College Of Hotel Management,,否,是
广东科技学院,Guangdong University of Science & Technology,,否,是
广东科贸职业学院,Guangdong Polytechnic Of Science And Trade,,否,否
广东科学技术职业学院,Guangdong Polytechnic Of Science And Technology,,否,否
广东理工学院,Guangdong Technology College,,否,是
广东理工职业学院,Guangdong Polytechnic Institute,,否,否
广东岭南职业技术学院,Guangdong Lingnan Institute Of Technology,,否,是
广东茂名健康职业学院,Guangdong Maoming Health Vocational College,,否,否
广东茂名农林科技职业学院,Guangdong Maoming Agriculture & Forestry Techical College,,否,否
广东茂名幼儿师范专科学校,Guangdong Preschool Normal College In Maoming,,否,否
广东梅州职业技术学院,Guangdong Meizhou Vocational And Technical College,,否,否
广东南方职业学院,Guangdong Nanfang Institute Of Technology,,否,是
广东南华工商职业学院,Guangdong Nanhua Vocational College Of Industry And Commerce,,否,否
广东农工商职业技术学院,Guangdong Aib Polytechnic,,否,否
广东女子职业技术学院,Guangdong Women's Polytechnic College,,否,否
广东培正学院,Guangdong Peizheng College,,否,是
广东青年职业学院,Guangdong Youth Vocational College,,否,否
广东轻工职业技术大学,Guangdong Industry Polytechnic University,,否,否
广东汕头幼儿师范高等专科学校,Shantou Preschool Education College In Guangdong,,否,否
广东生态工程职业学院,Guangdong Eco-Engineering Polytechnic,,否,否
广东省外语艺术职业学院,Guangdong Teachers College Of Foreign Language And Arts,,否,否
广东食品药品职业学院,Guangdong Food And Drug Vocational College,,否,否
广东水利电力职业技术学院,Guangdong Polytechnic Of Water Resources And Electric Engineering,,否,否
广东司法警官职业学院,Guangdong Justice Police Vocational College,,否,否
广东松山职业技术学院,Guangdong Songshan Polytechnic College,,否,否
广东体育职业技术学院,Guangdong Vocational Institute Of Sports,,否,否
广东外语外贸大学南国商学院,South China Business College Guangdong University of Foreign Studies,,是,否
广东文理职业学院,Guangdong Institute Of Arts And Sciences,,否,是
广东文艺职业学院,Guangdong Literary & Art Vocational College,,否,否
广东新安职业技术学院,Guangdong Xin'an Polytechnic,,否,是
广东信息工程职业学院,Guangdong Information Engineering Institute,,否,是
广东行政职业学院,Guangdong Vocational Institute Of Public Administration,,否,否
广东亚视演艺职业学院,Guangdong Atv College Of Performing Arts,,否,是
广东艺术职业学院,Guangdong Vocational Academy of Arts,,否,否
广东邮电职业技术学院,Guangdong Vocational College Of Post And Telecom,,否,否
