code,parent_code,name,code_path,name_path
61030022,610300,凤翔县,area/CHN/610000/610300/61030022,中国-陕西-宝鸡-凤翔县
61030023,610300,岐山县,area/CHN/610000/610300/61030023,中国-陕西-宝鸡-岐山县
61030024,610300,扶风县,area/CHN/610000/610300/61030024,中国-陕西-宝鸡-扶风县
61030026,610300,眉　县,area/CHN/610000/610300/61030026,中国-陕西-宝鸡-眉　县
61030027,610300,陇　县,area/CHN/610000/610300/61030027,中国-陕西-宝鸡-陇　县
61030028,610300,千阳县,area/CHN/610000/610300/61030028,中国-陕西-宝鸡-千阳县
61030029,610300,麟游县,area/CHN/610000/610300/61030029,中国-陕西-宝鸡-麟游县
61030030,610300,凤　县,area/CHN/610000/610300/61030030,中国-陕西-宝鸡-凤　县
61030031,610300,太白县,area/CHN/610000/610300/61030031,中国-陕西-宝鸡-太白县
6104002,610400,秦都区,area/CHN/610000/610400/6104002,中国-陕西-咸阳-秦都区
6104003,610400,杨凌区,area/CHN/610000/610400/6104003,中国-陕西-咸阳-杨凌区
6104004,610400,渭城区,area/CHN/610000/610400/6104004,中国-陕西-咸阳-渭城区
61040022,610400,三原县,area/CHN/610000/610400/61040022,中国-陕西-咸阳-三原县
61040023,610400,泾阳县,area/CHN/610000/610400/61040023,中国-陕西-咸阳-泾阳县
61040024,610400,乾　县,area/CHN/610000/610400/61040024,中国-陕西-咸阳-乾　县
61040025,610400,礼泉县,area/CHN/610000/610400/61040025,中国-陕西-咸阳-礼泉县
61040026,610400,永寿县,area/CHN/610000/610400/61040026,中国-陕西-咸阳-永寿县
61040027,610400,彬　县,area/CHN/610000/610400/61040027,中国-陕西-咸阳-彬　县
61040028,610400,长武县,area/CHN/610000/610400/61040028,中国-陕西-咸阳-长武县
61040029,610400,旬邑县,area/CHN/610000/610400/61040029,中国-陕西-咸阳-旬邑县
61040030,610400,淳化县,area/CHN/610000/610400/61040030,中国-陕西-咸阳-淳化县
61040031,610400,武功县,area/CHN/610000/610400/61040031,中国-陕西-咸阳-武功县
61040081,610400,兴平市,area/CHN/610000/610400/61040081,中国-陕西-咸阳-兴平市
6105002,610500,临渭区,area/CHN/610000/610500/6105002,中国-陕西-渭南-临渭区
61050021,610500,华　县,area/CHN/610000/610500/61050021,中国-陕西-渭南-华　县
61050022,610500,潼关县,area/CHN/610000/610500/61050022,中国-陕西-渭南-潼关县
61050023,610500,大荔县,area/CHN/610000/610500/61050023,中国-陕西-渭南-大荔县
61050024,610500,合阳县,area/CHN/610000/610500/61050024,中国-陕西-渭南-合阳县
61050025,610500,澄城县,area/CHN/610000/610500/61050025,中国-陕西-渭南-澄城县
61050026,610500,蒲城县,area/CHN/610000/610500/61050026,中国-陕西-渭南-蒲城县
61050027,610500,白水县,area/CHN/610000/610500/61050027,中国-陕西-渭南-白水县
61050028,610500,富平县,area/CHN/610000/610500/61050028,中国-陕西-渭南-富平县
61050081,610500,韩城市,area/CHN/610000/610500/61050081,中国-陕西-渭南-韩城市
61050082,610500,华阴市,area/CHN/610000/610500/61050082,中国-陕西-渭南-华阴市
6106002,610600,宝塔区,area/CHN/610000/610600/6106002,中国-陕西-延安-宝塔区
61060021,610600,延长县,area/CHN/610000/610600/61060021,中国-陕西-延安-延长县
61060022,610600,延川县,area/CHN/610000/610600/61060022,中国-陕西-延安-延川县
61060023,610600,子长县,area/CHN/610000/610600/61060023,中国-陕西-延安-子长县
61060024,610600,安塞县,area/CHN/610000/610600/61060024,中国-陕西-延安-安塞县
61060025,610600,志丹县,area/CHN/610000/610600/61060025,中国-陕西-延安-志丹县
61060026,610600,吴起县,area/CHN/610000/610600/61060026,中国-陕西-延安-吴起县
61060027,610600,甘泉县,area/CHN/610000/610600/61060027,中国-陕西-延安-甘泉县
61060028,610600,富　县,area/CHN/610000/610600/61060028,中国-陕西-延安-富　县
61060029,610600,洛川县,area/CHN/610000/610600/61060029,中国-陕西-延安-洛川县
61060030,610600,宜川县,area/CHN/610000/610600/61060030,中国-陕西-延安-宜川县
61060031,610600,黄龙县,area/CHN/610000/610600/61060031,中国-陕西-延安-黄龙县
61060032,610600,黄陵县,area/CHN/610000/610600/61060032,中国-陕西-延安-黄陵县
6107002,610700,汉台区,area/CHN/610000/610700/6107002,中国-陕西-汉中-汉台区
61070021,610700,南郑县,area/CHN/610000/610700/61070021,中国-陕西-汉中-南郑县
61070022,610700,城固县,area/CHN/610000/610700/61070022,中国-陕西-汉中-城固县
61070023,610700,洋　县,area/CHN/610000/610700/61070023,中国-陕西-汉中-洋　县
61070024,610700,西乡县,area/CHN/610000/610700/61070024,中国-陕西-汉中-西乡县
61070025,610700,勉　县,area/CHN/610000/610700/61070025,中国-陕西-汉中-勉　县
61070026,610700,宁强县,area/CHN/610000/610700/61070026,中国-陕西-汉中-宁强县
61070027,610700,略阳县,area/CHN/610000/610700/61070027,中国-陕西-汉中-略阳县
61070028,610700,镇巴县,area/CHN/610000/610700/61070028,中国-陕西-汉中-镇巴县
61070029,610700,留坝县,area/CHN/610000/610700/61070029,中国-陕西-汉中-留坝县
61070030,610700,佛坪县,area/CHN/610000/610700/61070030,中国-陕西-汉中-佛坪县
6108002,610800,榆阳区,area/CHN/610000/610800/6108002,中国-陕西-榆林-榆阳区
61080021,610800,神木县,area/CHN/610000/610800/61080021,中国-陕西-榆林-神木县
61080022,610800,府谷县,area/CHN/610000/610800/61080022,中国-陕西-榆林-府谷县
61080023,610800,横山县,area/CHN/610000/610800/61080023,中国-陕西-榆林-横山县
61080024,610800,靖边县,area/CHN/610000/610800/61080024,中国-陕西-榆林-靖边县
61080025,610800,定边县,area/CHN/610000/610800/61080025,中国-陕西-榆林-定边县
61080026,610800,绥德县,area/CHN/610000/610800/61080026,中国-陕西-榆林-绥德县
61080027,610800,米脂县,area/CHN/610000/610800/61080027,中国-陕西-榆林-米脂县
61080028,610800,佳　县,area/CHN/610000/610800/61080028,中国-陕西-榆林-佳　县
61080029,610800,吴堡县,area/CHN/610000/610800/61080029,中国-陕西-榆林-吴堡县
61080030,610800,清涧县,area/CHN/610000/610800/61080030,中国-陕西-榆林-清涧县
61080031,610800,子洲县,area/CHN/610000/610800/61080031,中国-陕西-榆林-子洲县
6109002,610900,汉滨区,area/CHN/610000/610900/6109002,中国-陕西-安康-汉滨区
61090021,610900,汉阴县,area/CHN/610000/610900/61090021,中国-陕西-安康-汉阴县
61090022,610900,石泉县,area/CHN/610000/610900/61090022,中国-陕西-安康-石泉县
61090023,610900,宁陕县,area/CHN/610000/610900/61090023,中国-陕西-安康-宁陕县
61090024,610900,紫阳县,area/CHN/610000/610900/61090024,中国-陕西-安康-紫阳县
61090025,610900,岚皋县,area/CHN/610000/610900/61090025,中国-陕西-安康-岚皋县
61090026,610900,平利县,area/CHN/610000/610900/61090026,中国-陕西-安康-平利县
61090027,610900,镇坪县,area/CHN/610000/610900/61090027,中国-陕西-安康-镇坪县
61090028,610900,旬阳县,area/CHN/610000/610900/61090028,中国-陕西-安康-旬阳县
61090029,610900,白河县,area/CHN/610000/610900/61090029,中国-陕西-安康-白河县
6110002,611000,商州区,area/CHN/610000/611000/6110002,中国-陕西-商洛-商州区
61100021,611000,洛南县,area/CHN/610000/611000/61100021,中国-陕西-商洛-洛南县
61100022,611000,丹凤县,area/CHN/610000/611000/61100022,中国-陕西-商洛-丹凤县
61100023,611000,商南县,area/CHN/610000/611000/61100023,中国-陕西-商洛-商南县
61100024,611000,山阳县,area/CHN/610000/611000/61100024,中国-陕西-商洛-山阳县
61100025,611000,镇安县,area/CHN/610000/611000/61100025,中国-陕西-商洛-镇安县
61100026,611000,柞水县,area/CHN/610000/611000/61100026,中国-陕西-商洛-柞水县
620100,620000,兰州市,area/CHN/620000/620100,中国-甘肃-兰州市
620200,620000,嘉峪关,area/CHN/620000/620200,中国-甘肃-嘉峪关
620300,620000,金昌,area/CHN/620000/620300,中国-甘肃-金昌
